,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
82,Bambous Virieux,MU,-20.34,71.6,88,75,5.28
83,Bani Walid,LY,31.76,70.86,58,0,10.31
84,Majene,ID,-3.54,79.41,100,24,11.65
85,Hilo,US,19.71,76.6,69,20,10.29
86,Nikolskoye,RU,59.7,57.2,47,20,11.18
87,Lavrentiya,RU,65.58,37.38,97,48,13.44
88,Hami,CN,42.84,70.5,60,68,4.27
89,Kodiak,US,39.95,77.0,73,40,10.29
90,Dikson,RU,73.51,33.69,88,0,21.27
91,Rikitea,PF,-23.12,72.03,100,44,7.74
92,Dryden,CA,49.79,80.6,42,75,4.7
93,Puerto Ayora,EC,-0.74,86.0,51,20,20.8
94,Opuwo,NA,-18.06,46.56,49,0,2.71
95,Dingle,PH,11.0,74.19,96,56,3.15
96,Victoria,BN,5.28,78.8,100,75,1.12
97,Vestmannaeyjar,IS,63.44,53.76,72,0,10.2
98,Jamestown,AU,-33.21,25.86,69,0,1.25
99,Provideniya,RU,64.42,42.8,75,75,11.18
100,New Norfolk,AU,-42.78,42.8,75,20,9.17
101,Winter Haven,US,28.02,90.81,55,40,11.41
102,Tiksi,RU,71.64,54.3,72,48,3.71
103,Bluff,AU,-23.58,39.9,89,36,2.82
104,Saskylakh,RU,71.97,51.78,74,68,11.77
105,Kandalaksha,RU,67.15,54.39,74,76,7.07
106,Dikson,RU,73.51,33.69,88,0,21.27
107,Necochea,AR,-38.55,54.12,68,0,11.43
108,Pevek,RU,69.7,42.51,78,0,2.71
109,Narsaq,GL,60.91,53.6,27,75,42.5
110,Yellowknife,CA,62.45,84.2,35,40,5.82
111,Khatanga,RU,71.98,50.16,86,64,21.5
112,Busselton,AU,-33.64,60.87,100,88,7.74
113,Kathmandu,NP,27.71,71.6,88,40,2.24
114,Cherskiy,RU,68.75,56.73,53,0,1.92
115,Uige,AO,-7.61,63.21,87,0,3.04
116,Bluff,AU,-23.58,39.9,89,36,2.82
117,Mataura,NZ,-46.19,24.33,77,0,2.37
118,Monrovia,LR,6.33,77.0,94,75,5.39
119,Severo-Kurilsk,RU,50.68,41.52,99,80,7.52
120,Rikitea,PF,-23.12,72.03,100,44,7.74
121,Rikitea,PF,-23.12,72.03,100,44,7.74
122,Rikitea,PF,-23.12,72.03,100,44,7.74
123,Jaru,BR,-10.43,87.69,40,44,2.37
124,Hermanus,ZA,-34.42,36.75,90,0,2.15
125,Bambous Virieux,MU,-20.34,71.6,88,75,5.28
126,Ushuaia,AR,-54.81,33.8,80,75,18.34
127,Tuatapere,NZ,-46.13,34.68,100,0,4.94
128,Baft,IR,29.23,64.38,29,24,3.6
129,Caborca,MX,30.58,97.41,15,0,6.62
130,Nikolskoye,RU,59.7,57.2,47,20,11.18
131,Port Elizabeth,US,39.31,80.6,57,40,6.93
132,Mitsamiouli,KM,-11.38,80.13,93,20,11.32
133,Necochea,AR,-38.55,54.12,68,0,11.43
134,Bin Qirdan,TN,33.14,72.21,79,0,7.4
135,Grand-Santi,GF,4.27,80.4,81,64,2.71
136,Jamestown,AU,-33.21,25.86,69,0,1.25
137,Severo-Kurilsk,RU,50.68,41.52,99,80,7.52
138,Ushuaia,AR,-54.81,33.8,80,75,18.34
139,Cabo San Lucas,MX,22.89,84.92,31,5,10.29
140,Rikitea,PF,-23.12,72.03,100,44,7.74
141,Tiksi,RU,71.64,54.3,72,48,3.71
142,Ancud,CL,-41.87,47.91,96,92,13.44
143,New Norfolk,AU,-42.78,42.8,75,20,9.17
144,Krasnogvardeyskoye,RU,45.84,67.44,55,0,2.48
145,Esperance,TT,10.24,84.2,74,20,12.75
146,Bethel,US,60.79,55.4,66,90,3.36
147,Champerico,MX,16.38,89.6,46,90,9.17
148,Georgetown,GY,6.8,84.2,79,40,4.7
149,Zarubino,RU,42.65,59.88,90,20,10.31
150,Port Hawkesbury,CA,45.62,77.0,38,1,8.05
151,Bredasdorp,ZA,-34.53,46.4,93,0,5.82
152,Punta Arenas,CL,-53.16,35.6,80,40,24.16
153,Grenfell,AU,-33.9,36.03,87,36,2.93
154,Mahebourg,MU,-20.41,71.6,88,75,5.28
155,Albany,US,42.65,72.66,53,90,5.82
156,Ancud,CL,-41.87,47.91,96,92,13.44
157,Provideniya,RU,64.42,42.8,75,75,11.18
158,Punta Arenas,CL,-53.16,35.6,80,40,24.16
159,Albany,US,42.65,72.66,53,90,5.82
160,Avera,US,33.19,95.36,44,1,5.82
161,Ribeira Grande,PT,38.52,73.4,88,40,9.17
162,Bumba,CD,2.18,74.28,91,64,2.93
163,Harstad,NO,68.8,50.0,87,75,4.7
164,Sur,OM,22.57,88.68,83,12,9.64
165,Nelson Bay,AU,-32.72,53.6,93,90,5.82
166,Ordzhonikidze,UA,44.96,73.11,76,0,4.72
167,Margate,AU,-43.03,42.8,75,20,9.17
168,Jamestown,AU,-33.21,25.86,69,0,1.25
169,Faanui,PF,-16.48,81.21,100,76,19.48
170,Lata,IN,30.78,54.84,75,0,2.59
171,Reyes,BO,-14.3,83.26,54,20,2.71
172,Butaritari,KI,3.07,84.18,100,76,8.63
173,Mataura,NZ,-46.19,24.33,77,0,2.37
174,Jamestown,AU,-33.21,25.86,69,0,1.25
175,Albany,US,42.65,72.66,53,90,5.82
176,New Norfolk,AU,-42.78,42.8,75,20,9.17
177,Rikitea,PF,-23.12,72.03,100,44,7.74
178,Thompson,CA,55.74,78.8,44,75,3.36
179,Hilo,US,19.71,76.6,69,20,10.29
180,Samarai,PG,-10.62,76.89,100,92,17.13
181,Ushuaia,AR,-54.81,33.8,80,75,18.34
182,Darnah,LY,32.77,76.26,98,0,7.18
183,Victoria,BN,5.28,78.8,100,75,1.12
184,Ponta do Sol,BR,-20.63,65.91,68,8,2.48
185,Sedam,IN,17.18,74.1,82,48,6.17
186,Pangnirtung,CA,66.15,41.0,80,75,13.87
187,Timbuktu,ML,16.77,95.61,17,56,4.72
188,Houma,CN,35.63,66.0,82,80,4.27
189,Hermanus,ZA,-34.42,36.75,90,0,2.15
190,Bintulu,MY,3.17,78.8,94,75,3.36
191,Ilabaya,PE,-17.42,65.55,63,48,2.04
192,Nikolskoye,RU,59.7,57.2,47,20,11.18
193,Lasa,CY,34.92,75.97,78,40,8.05
194,Fortuna,ES,38.18,74.17,69,0,4.7
195,Castro,CL,-42.48,46.74,98,88,13.0
196,Torbay,CA,47.66,66.2,59,40,9.17
197,Avarua,CK,-21.21,77.0,69,20,8.05
198,Point Pedro,LK,9.82,84.0,92,56,24.07
199,Lata,IN,30.78,54.84,75,0,2.59
200,Nantucket,US,41.28,70.92,82,1,12.75
201,Craigieburn,AU,-37.6,38.39,86,0,11.41
202,Port Elizabeth,US,39.31,80.6,57,40,6.93
203,Surt,LY,31.21,73.29,94,0,11.21
204,Jamestown,AU,-33.21,25.86,69,0,1.25
205,New Norfolk,AU,-42.78,42.8,75,20,9.17
206,Busselton,AU,-33.64,60.87,100,88,7.74
207,Mataura,NZ,-46.19,24.33,77,0,2.37
208,Kaitangata,NZ,-46.28,26.85,76,0,3.94
209,Rikitea,PF,-23.12,72.03,100,44,7.74
210,Jamestown,AU,-33.21,25.86,69,0,1.25
211,Saint George,GR,39.45,69.8,60,20,4.7
212,New Norfolk,AU,-42.78,42.8,75,20,9.17
213,Vaini,IN,15.34,68.61,98,92,3.49
214,Rikitea,PF,-23.12,72.03,100,44,7.74
215,Saint-Philippe,CA,45.36,77.9,47,1,19.46
216,Tevaitoa,PF,-16.78,81.39,96,68,18.25
217,Lorengau,PG,-2.02,81.75,100,12,4.83
218,Qaanaaq,GL,77.48,31.98,98,68,3.6
219,Airai,TL,-8.93,64.38,89,0,1.81
220,Bluff,AU,-23.58,39.9,89,36,2.82
221,Methven,NZ,-43.63,30.18,93,0,3.49
222,Tyumentsevo,RU,53.32,58.53,75,12,7.74
223,Busselton,AU,-33.64,60.87,100,88,7.74
224,Kendari,ID,-3.99,71.76,99,92,0.13
225,Mar del Plata,AR,-46.43,52.14,52,0,24.74
226,Kapaa,US,22.08,80.44,69,1,12.75
227,Mataura,NZ,-46.19,24.33,77,0,2.37
228,Tiksi,RU,71.64,54.3,72,48,3.71
229,Hobart,AU,-42.88,42.8,75,20,9.17
230,Ushtobe,KZ,45.25,63.39,59,12,3.94
231,Vestmannaeyjar,IS,63.44,53.76,72,0,10.2
232,Bluff,AU,-23.58,39.9,89,36,2.82
233,Ushuaia,AR,-54.81,33.8,80,75,18.34
234,Tuktoyaktuk,CA,69.44,44.6,48,75,6.93
235,Saint-Philippe,CA,45.36,77.9,47,1,19.46
236,Busselton,AU,-33.64,60.87,100,88,7.74
237,Norman Wells,CA,65.28,66.2,72,75,11.41
238,Saint-Pierre,FR,48.95,71.6,60,0,4.7
239,Kaitangata,NZ,-46.28,26.85,76,0,3.94
240,Mataura,NZ,-46.19,24.33,77,0,2.37
241,Salalah,OM,17.01,82.4,88,75,5.82
242,Ningbo,CN,29.88,71.6,100,75,4.47
243,Grootfontein,NA,-19.56,46.38,59,0,4.38
244,Healesville,AU,-37.65,41.0,100,20,10.29
245,Iqaluit,CA,63.75,42.8,70,20,24.16
246,Lata,IN,30.78,54.84,75,0,2.59
247,Sitka,US,37.17,84.0,59,0,14.0
248,Egvekinot,RU,66.32,43.68,57,56,1.59
249,Coihaique,CL,-45.58,38.03,93,90,4.7
250,Waipawa,NZ,-39.94,47.73,85,92,9.86
251,Hualmay,PE,-11.1,63.39,82,24,3.94
252,Nome,US,30.04,87.82,66,75,12.75
253,Yellowknife,CA,62.45,84.2,35,40,5.82
254,Ushuaia,AR,-54.81,33.8,80,75,18.34
255,Puerto Ayora,EC,-0.74,86.0,51,20,20.8
256,Busselton,AU,-33.64,60.87,100,88,7.74
257,Bredasdorp,ZA,-34.53,46.4,93,0,5.82
258,Cape Town,ZA,-33.93,48.2,100,0,2.24
259,Beringovskiy,RU,63.05,44.4,100,8,8.41
260,Vaini,IN,15.34,68.61,98,92,3.49
261,Ossora,RU,59.24,47.46,97,0,2.26
262,New Norfolk,AU,-42.78,42.8,75,20,9.17
263,Yellowknife,CA,62.45,84.2,35,40,5.82
264,Funchal,BR,-19.3,70.32,55,0,3.71
265,Thunder Bay,CA,48.41,68.0,68,20,16.11
266,Husavik,CA,50.56,85.89,41,12,3.38
267,Balkanabat,TM,39.51,70.5,38,0,2.48
268,Sibu,MY,2.29,73.4,94,90,6.93
269,Albany,US,42.65,72.66,53,90,5.82
270,Cabo San Lucas,MX,22.89,84.92,31,5,10.29
271,Thompson,CA,55.74,78.8,44,75,3.36
272,Saint-Philippe,CA,45.36,77.9,47,1,19.46
273,Los Llanos de Aridane,ES,28.66,69.8,73,0,13.87
274,Xining,CN,36.62,51.51,100,100,3.15
275,Puerto Ayora,EC,-0.74,86.0,51,20,20.8
276,Ostrovnoy,RU,68.05,46.56,100,100,8.75
277,Richards Bay,ZA,-28.77,64.56,82,80,5.06
278,Griffith,AU,-34.29,39.09,85,36,3.15
279,Nagua,DO,19.37,82.4,78,40,11.41
280,Husavik,CA,50.56,85.89,41,12,3.38
281,Churhat,IN,24.43,86.61,55,64,3.38
282,Puerto Ayora,EC,-0.74,86.0,51,20,20.8
283,Saint-Philippe,CA,45.36,77.9,47,1,19.46
284,Hobart,AU,-42.88,42.8,75,20,9.17
285,Gushikawa,JP,26.35,81.81,94,75,13.87
286,Cidreira,BR,-30.17,63.57,86,8,1.7
287,Albany,US,42.65,72.66,53,90,5.82
288,Bredasdorp,ZA,-34.53,46.4,93,0,5.82
289,Norman Wells,CA,65.28,66.2,72,75,11.41
290,Tura,IN,25.52,75.99,94,44,3.71
291,Morant Bay,JM,17.88,89.6,66,20,24.16
292,Oranjestad,AW,12.52,89.6,55,20,18.34
293,Bluff,AU,-23.58,39.9,89,36,2.82
294,Mar del Plata,AR,-46.43,52.14,52,0,24.74
295,Ushuaia,AR,-54.81,33.8,80,75,18.34
296,Hilo,US,19.71,76.6,69,20,10.29
297,Port Alfred,ZA,-33.59,58.98,96,0,9.08
298,Biltine,TD,14.53,75.72,72,56,8.41
299,Punta Arenas,CL,-53.16,35.6,80,40,24.16
300,Longyearbyen,NO,78.22,42.8,81,75,12.75
301,Barrow,AR,-38.31,57.54,53,0,11.43
302,Bluff,AU,-23.58,39.9,89,36,2.82
303,Longyearbyen,NO,78.22,42.8,81,75,12.75
304,Busselton,AU,-33.64,60.87,100,88,7.74
305,Kaeo,NZ,-35.1,55.2,97,92,21.5
306,Busselton,AU,-33.64,60.87,100,88,7.74
307,Juba,EE,57.82,57.2,58,0,9.17
308,Mitu,IR,36.2,53.4,54,0,2.93
309,Chokurdakh,RU,70.62,42.78,84,0,9.42
310,Rikitea,PF,-23.12,72.03,100,44,7.74
311,Rikitea,PF,-23.12,72.03,100,44,7.74
312,Kulhudhuffushi,MV,6.62,83.55,98,92,20.04
313,Ostrovnoy,RU,68.05,46.56,100,100,8.75
314,Butaritari,KI,3.07,84.18,100,76,8.63
315,Vilhena,BR,-12.74,78.8,50,40,9.17
316,Khatanga,RU,71.98,50.16,86,64,21.5
317,Ushuaia,AR,-54.81,33.8,80,75,18.34
318,Punta Arenas,CL,-53.16,35.6,80,40,24.16
319,Laguna,MX,27.52,93.2,23,5,2.24
320,Bilma,NE,18.69,91.38,25,0,10.54
321,Kaitangata,NZ,-46.28,26.85,76,0,3.94
322,Ushuaia,AR,-54.81,33.8,80,75,18.34
323,Busselton,AU,-33.64,60.87,100,88,7.74
324,Puerto Ayora,EC,-0.74,86.0,51,20,20.8
325,Galiakot,IN,23.54,84.36,58,12,9.64
326,Cidreira,BR,-30.17,63.57,86,8,1.7
327,Yaransk,RU,57.3,56.73,66,0,12.21
328,Kapaa,US,22.08,80.44,69,1,12.75
329,Ambatondrazaka,MG,-17.82,56.1,96,76,2.04
330,Port Elizabeth,US,39.31,80.6,57,40,6.93
331,Lebu,ET,8.96,45.21,85,0,1.7
332,Lardos,GR,36.09,75.2,94,20,6.93
333,Krasnyy Chikoy,RU,50.36,56.73,87,88,2.15
334,Mataura,NZ,-46.19,24.33,77,0,2.37
335,Laurel,US,45.67,68.0,60,40,6.93
336,Avarua,CK,-21.21,77.0,69,20,8.05
337,Yumen,CN,40.29,60.24,46,0,8.63
338,Bredasdorp,ZA,-34.53,46.4,93,0,5.82
339,Port Blair,IN,11.67,83.37,99,80,21.16
340,Ushuaia,AR,-54.81,33.8,80,75,18.34
341,Mount Gambier,AU,-37.83,44.76,93,80,1.59
342,Rikitea,PF,-23.12,72.03,100,44,7.74
343,Chepen,PE,-7.22,69.8,73,75,10.29
344,Grand Gaube,MU,-20.01,71.6,88,75,11.43
345,Mitsamiouli,KM,-11.38,80.13,93,20,11.32
346,Hay River,CA,60.82,82.4,39,40,9.17
347,Kostyantynivka,UA,48.53,76.8,39,8,8.52
348,Butaritari,KI,3.07,84.18,100,76,8.63
349,Doctor Cecilio Baez,PY,-25.05,74.91,52,0,5.17
350,Jasper,US,33.83,85.44,94,24,3.49
351,Tuktoyaktuk,CA,69.44,44.6,48,75,6.93
352,Rikitea,PF,-23.12,72.03,100,44,7.74
353,Lavrentiya,RU,65.58,37.38,97,48,13.44
354,Hilo,US,19.71,76.6,69,20,10.29
355,Thompson,CA,55.74,78.8,44,75,3.36
356,Cape Town,ZA,-33.93,48.2,100,0,2.24
357,Los Llanos de Aridane,ES,28.66,69.8,73,0,13.87
358,Upernavik,GL,72.79,32.7,95,36,11.77
359,Ushuaia,AR,-54.81,33.8,80,75,18.34
360,Chokurdakh,RU,70.62,42.78,84,0,9.42
361,Buraydah,SA,26.33,96.8,22,0,4.7
362,Bluff,AU,-23.58,39.9,89,36,2.82
363,Ushuaia,AR,-54.81,33.8,80,75,18.34
364,Mataura,NZ,-46.19,24.33,77,0,2.37
365,Nha Trang,VN,12.24,77.34,100,56,5.95
366,Slavutych,UA,51.52,61.23,68,0,3.38
367,Punta Arenas,CL,-53.16,35.6,80,40,24.16
368,Punta Arenas,CL,-53.16,35.6,80,40,24.16
369,Qaanaaq,GL,77.48,31.98,98,68,3.6
370,Ushuaia,AR,-54.81,33.8,80,75,18.34
371,Puerto Escondido,MX,15.86,86.0,66,75,9.17
372,Okhotsk,RU,59.36,46.11,96,92,5.73
373,Kirando,TZ,-7.37,69.69,100,0,5.17
374,Ancud,CL,-41.87,47.91,96,92,13.44
375,Beloha,MG,-25.17,57.81,81,20,3.71
376,Punta Arenas,CL,-53.16,35.6,80,40,24.16
377,Novodugino,RU,55.63,58.71,57,0,10.76
378,Juneau,US,58.3,73.4,46,75,5.82
379,Mataura,NZ,-46.19,24.33,77,0,2.37
380,Butaritari,KI,3.07,84.18,100,76,8.63
381,New Norfolk,AU,-42.78,42.8,75,20,9.17
382,Punta Arenas,CL,-53.16,35.6,80,40,24.16
383,Bethel,US,60.79,55.4,66,90,3.36
384,Puerto Ayora,EC,-0.74,86.0,51,20,20.8
385,Puro,PH,13.13,75.27,100,36,2.15
386,Avarua,CK,-21.21,77.0,69,20,8.05
387,Punta Arenas,CL,-53.16,35.6,80,40,24.16
388,Ribeira Grande,PT,38.52,73.4,88,40,9.17
389,Jamestown,AU,-33.21,25.86,69,0,1.25
390,Albany,US,42.65,72.66,53,90,5.82
391,Georgetown,GY,6.8,84.2,79,40,4.7
392,Payo,ID,-3.75,76.08,88,76,6.62
393,Cayenne,GF,4.94,80.6,83,20,2.24
394,Mataura,NZ,-46.19,24.33,77,0,2.37
395,Rikitea,PF,-23.12,72.03,100,44,7.74
396,Sistranda,NO,63.73,48.2,87,75,13.87
397,Los Llanos de Aridane,ES,28.66,69.8,73,0,13.87
398,Hobart,AU,-42.88,42.8,75,20,9.17
399,Saint George,GR,39.45,69.8,60,20,4.7
400,Barrow,AR,-38.31,57.54,53,0,11.43
401,San Carlos de Bariloche,AR,-41.13,37.4,74,40,28.86
402,Saint-Nazaire,FR,47.27,75.2,64,0,9.17
403,Punta Arenas,CL,-53.16,35.6,80,40,24.16
404,Hadejia,NG,12.45,72.21,92,64,11.54
405,Tuktoyaktuk,CA,69.44,44.6,48,75,6.93
406,Xining,CN,36.62,51.51,100,100,3.15
407,Hithadhoo,MV,-0.6,83.91,100,56,6.4
408,Kangaatsiaq,GL,68.31,42.6,73,24,15.79
409,Ushuaia,AR,-54.81,33.8,80,75,18.34
410,Nikolskoye,RU,59.7,57.2,47,20,11.18
411,Thompson,CA,55.74,78.8,44,75,3.36
412,Chilca,PE,-13.22,66.2,17,40,9.17
413,Salalah,OM,17.01,82.4,88,75,5.82
414,Yellowknife,CA,62.45,84.2,35,40,5.82
415,Harnosand,SE,62.63,57.2,44,0,3.36
416,Sao Filipe,CV,14.9,73.38,97,0,13.44
417,Salalah,OM,17.01,82.4,88,75,5.82
418,Coquimbo,CL,-29.95,51.8,87,40,10.29
419,Mareeba,AU,-16.99,59.0,77,20,14.99
420,Luderitz,NA,-26.65,52.32,88,0,9.75
421,Barrow,AR,-38.31,57.54,53,0,11.43
422,Aklavik,CA,68.22,52.21,81,90,5.06
423,Rikitea,PF,-23.12,72.03,100,44,7.74
424,Punta Arenas,CL,-53.16,35.6,80,40,24.16
425,Atuona,PF,-9.8,80.4,100,20,11.21
426,Okha,RU,53.59,47.19,100,92,6.96
427,Bermejo,AR,-22.73,73.65,66,0,2.48
428,Agua Branca,BR,-5.89,83.73,43,12,6.85
429,Mar del Plata,AR,-46.43,52.14,52,0,24.74
430,East London,ZA,-33.02,64.38,100,0,6.85
431,Moron,VE,10.49,88.02,58,40,8.05
432,Tuktoyaktuk,CA,69.44,44.6,48,75,6.93
433,Faanui,PF,-16.48,81.21,100,76,19.48
434,Campbell River,CA,50.02,76.91,41,75,5.82
435,Kaputa,ZM,-8.47,55.83,81,0,0.92
436,Mar del Plata,AR,-46.43,52.14,52,0,24.74
437,Clyde River,CA,70.47,35.6,93,75,11.41
438,Souillac,FR,45.6,79.43,51,0,4.7
439,Port Alfred,ZA,-33.59,58.98,96,0,9.08
440,Awjilah,LY,29.14,83.73,38,48,11.77
441,Mar del Plata,AR,-46.43,52.14,52,0,24.74
442,Hambantota,LK,6.12,81.21,98,48,15.68
443,Tuktoyaktuk,CA,69.44,44.6,48,75,6.93
444,Castro,CL,-42.48,46.74,98,88,13.0
445,Hithadhoo,MV,-0.6,83.91,100,56,6.4
446,Airai,TL,-8.93,64.38,89,0,1.81
447,Hobart,AU,-42.88,42.8,75,20,9.17
448,Petropavlovsk-Kamchatskiy,RU,53.05,51.8,87,32,4.47
449,Pevek,RU,69.7,42.51,78,0,2.71
450,Rikitea,PF,-23.12,72.03,100,44,7.74
451,Kaitangata,NZ,-46.28,26.85,76,0,3.94
452,Sisimiut,GL,66.94,36.48,98,12,1.7
453,Albany,US,42.65,72.66,53,90,5.82
454,Ushuaia,AR,-54.81,33.8,80,75,18.34
455,Albany,US,42.65,72.66,53,90,5.82
456,Hermanus,ZA,-34.42,36.75,90,0,2.15
457,Isla Mujeres,MX,21.23,86.0,70,40,12.75
458,Chumikan,RU,54.72,40.35,100,92,1.92
459,Uvat,RU,59.14,53.76,87,0,5.17
460,Mamallapuram,IN,12.63,87.8,66,40,8.05
461,Indianola,US,40.24,80.6,39,20,20.8
462,Chapais,CA,49.78,57.2,34,40,13.87
463,Hervey Bay,AU,-25.3,64.38,100,24,13.44
464,Martapura,ID,-3.41,74.91,100,36,3.71
465,Sorland,NO,67.67,48.72,97,92,7.96
466,Nikolskoye,RU,59.7,57.2,47,20,11.18
467,Klaksvik,FO,62.23,46.4,87,76,13.87
468,Kruisfontein,ZA,-34.0,53.4,96,0,6.62
469,Bodo,CI,5.91,74.64,90,92,8.75
470,Norman Wells,CA,65.28,66.2,72,75,11.41
471,Nanortalik,GL,60.14,37.92,93,32,38.16
472,Mildura,AU,-34.18,31.08,79,0,2.71
473,Kulhudhuffushi,MV,6.62,83.55,98,92,20.04
474,Mataura,NZ,-46.19,24.33,77,0,2.37
475,Busselton,AU,-33.64,60.87,100,88,7.74
476,Carnarvon,ZA,-30.97,31.26,66,0,4.38
477,Vaitape,PF,-16.52,81.39,97,48,18.81
478,Port Blair,IN,11.67,83.37,99,80,21.16
479,Kochki,RU,54.33,55.92,80,32,8.41
480,Ankang,CN,32.73,67.98,86,92,2.26
481,Barrow,AR,-38.31,57.54,53,0,11.43
482,Atuona,PF,-9.8,80.4,100,20,11.21
483,Jamestown,AU,-33.21,25.86,69,0,1.25
484,Adrar,DZ,27.87,102.2,14,0,8.05
485,Port Alfred,ZA,-33.59,58.98,96,0,9.08
486,Hobart,AU,-42.88,42.8,75,20,9.17
487,Margate,AU,-43.03,42.8,75,20,9.17
488,Hermanus,ZA,-34.42,36.75,90,0,2.15
489,Jamestown,AU,-33.21,25.86,69,0,1.25
490,Port Elizabeth,US,39.31,80.6,57,40,6.93
491,Tricase,IT,39.93,74.37,78,20,8.05
492,Sisimiut,GL,66.94,36.48,98,12,1.7
493,Rikitea,PF,-23.12,72.03,100,44,7.74
494,Saint George,GR,39.45,69.8,60,20,4.7
495,Punta Arenas,CL,-53.16,35.6,80,40,24.16
496,Cherskiy,RU,68.75,56.73,53,0,1.92
497,Ushuaia,AR,-54.81,33.8,80,75,18.34
